Num_Restaurants,TotTimeElapsed_sec,ScrapeTime_sec
320,991.61,3.31
321,1006.97,15.36
322,1011.8,4.83
323,1016.22,4.42
324,1020.08,3.86
325,1023.19,3.11
326,1027.89,4.7
327,1032.67,4.78
328,1036.12,3.45
329,1039.55,3.43
330,1043.59,4.04
331,1048.67,5.08
332,1052.16,3.49
333,1055.69,3.53
334,1058.62,2.93
335,1062.87,4.25
336,1065.84,2.97
337,1069.11,3.27
338,1072.52,3.41
339,1075.7,3.18
340,1079.62,3.92
341,1083.09,3.47
342,1085.78,2.69
343,1089.14,3.36
344,1092.73,3.59
345,1095.58,2.85
346,1099.56,3.98
347,1102.53,2.97
348,1106.44,3.91
349,1110.3,3.86
350,1113.94,3.64
351,1117.11,3.17
352,1120.31,3.2
353,1124.62,4.31
354,1128.34,3.72
355,1132.59,4.25
356,1135.42,2.83
357,1139.56,4.14
358,1142.23,2.67
359,1145.83,3.6
360,1149.08,3.25
361,1160.02,10.94
362,1163.52,3.5
363,1166.34,2.82
364,1169.17,2.83
365,1172.17,3
366,1174.87,2.7
367,1177.97,3.1
368,1181.33,3.36
369,1183.89,2.56
370,1186.5,2.61
371,1189.52,3.02
372,1193.08,3.56
373,1196.03,2.95
374,1198.97,2.94
375,1201.83,2.86
376,1205.45,3.62
377,1208.33,2.88
378,1211.89,3.56
379,1214.83,2.94
380,1218.08,3.25
381,1221.34,3.26
382,1224.14,2.8
383,1227.3,3.16
384,1230.19,2.89
385,1233.17,2.98
386,1236.41,3.24
387,1239.91,3.5
388,1243.02,3.11
389,1246.27,3.25
390,1248.33,2.06
391,1251.98,3.65
392,1255.78,3.8
393,1258.34,2.56
394,1261.31,2.97
395,1264.05,2.74
396,1273.66,9.61
397,1277.02,3.36
398,1279.67,2.65
399,1283.06,3.39
400,1285.64,2.58
401,1300.86,15.22
402,1304.12,3.26
403,1307.19,3.07
404,1310.98,3.79
405,1315.52,4.54
406,1318.62,3.1
407,1321.92,3.3
408,1325.08,3.16
409,1327.64,2.56
410,1331.2,3.56
411,1334.34,3.14
412,1337.39,3.05
413,1339.89,2.5
414,1342.95,3.06
415,1346.22,3.27
416,1349.42,3.2
417,1352.75,3.33
418,1356.69,3.94
419,1360.7,4.01
420,1363.83,3.13
421,1366.7,2.87
422,1370.09,3.39
423,1374.16,4.07
424,1379.09,4.93
425,1382.5,3.41
426,1385.41,2.91
427,1387.97,2.56
428,1391.44,3.47
429,1394.8,3.36
430,1398,3.2
431,1401.58,3.58
432,1405.02,3.44
433,1408.08,3.06
434,1411.2,3.12
435,1415.56,4.36
436,1418.92,3.36
437,1422.14,3.22
438,1424.78,2.64
439,1428.23,3.45
440,1431.86,3.63
441,1435.47,3.61
442,1438.5,3.03
443,1441.62,3.12
444,1445.39,3.77
445,1450.11,4.72
446,1453.25,3.14
447,1456.14,2.89
448,1459.17,3.03
449,1461.98,2.81
450,1465.69,3.71
451,1469.33,3.64
452,1472.62,3.29
453,1476.42,3.8
454,1480.81,4.39
455,1484.33,3.52
456,1488.02,3.69
457,1492.06,4.04
458,1495.98,3.92
459,1499.19,3.21
460,1501.87,2.68
461,1505.2,3.33
462,1509.42,4.22
463,1512.62,3.2
464,1516.05,3.43
465,1519.95,3.9
466,1523.77,3.82
467,1527.25,3.48
468,1530.3,3.05
469,1533.33,3.03
470,1536.67,3.34
471,1540.45,3.78
472,1543.37,2.92
473,1546.3,2.93
